is_canceled,group_lead_time,group_stays_in_nights,group_adults,Children_sino,Babies_sino,country,distribution_channel,is_repeated_guest,Previous_cancellations_SiNo
0,10,1,1,0,0,60,1,0,0
0,20,1,1,0,0,60,2,0,0
0,20,2,2,0,0,60,3,0,0
0,20,2,2,0,0,60,3,0,0
0,10,2,2,0,0,137,1,0,0
0,10,2,2,0,0,137,1,0,0
1,90,3,2,0,0,137,3,0,0
1,80,3,2,0,0,137,3,0,0
1,30,4,2,0,0,137,3,0,0
0,40,4,2,0,0,137,3,0,0
0,70,4,2,0,0,171,3,0,0
0,20,4,2,1,0,52,3,0,0
0,40,4,2,0,0,137,3,0,0
0,70,4,2,0,0,77,3,0,0
0,40,4,2,0,0,137,3,0,0
0,20,1,2,0,0,77,3,0,0
0,10,1,2,0,0,57,2,0,0
0,10,4,2,0,0,60,1,0,0
0,40,5,1,0,0,60,3,0,0
0,80,6,2,0,0,137,1,0,0
0,80,6,2,0,0,137,1,0,0
0,80,6,2,0,0,137,1,0,0
0,150,7,2,0,0,60,3,0,0
0,80,7,2,0,0,137,3,0,0
0,50,7,2,0,0,77,3,0,0
1,60,7,2,0,0,137,3,0,0
0,80,7,2,0,0,137,3,0,0
0,100,7,2,0,0,137,3,0,0
0,150,15,1,0,0,127,1,0,0
0,100,15,2,0,0,60,3,0,0
1,100,10,2,0,0,137,1,0,0
0,70,6,2,0,0,77,3,0,0
1,50,4,3,0,0,137,3,0,0
1,40,4,3,0,0,137,3,0,0
0,20,4,2,0,0,52,3,0,0
0,40,4,3,0,0,137,3,0,0
1,50,4,3,0,0,137,3,0,0
0,70,5,2,0,0,141,1,0,0
1,50,5,2,0,0,137,3,0,0
0,50,5,2,0,0,77,3,0,0
0,20,5,2,0,0,52,1,0,0
0,70,5,2,0,0,141,1,0,0
0,150,7,2,0,0,137,3,0,0
1,50,7,2,1,0,137,3,0,0
0,100,7,2,0,0,52,3,0,0
0,150,7,2,0,0,125,3,0,0
0,90,7,2,0,0,60,3,0,0
0,50,7,2,0,0,77,3,0,0
0,150,7,2,0,0,125,3,0,0
0,100,15,2,0,0,77,3,0,0
0,80,15,2,0,0,129,3,0,0
0,10,1,2,0,0,52,3,0,0
0,10,1,2,0,0,7,3,0,0
0,10,1,2,1,0,52,1,0,0
0,10,1,2,0,0,137,1,0,0
0,10,1,2,0,0,137,3,0,0
0,10,1,2,0,0,137,1,0,0
0,20,2,2,0,0,171,3,0,0
0,10,2,2,0,0,137,3,0,0
0,10,2,2,0,0,77,3,0,0
0,20,3,2,0,0,52,1,0,0
0,100,3,2,0,0,77,3,0,0
1,10,3,2,0,0,137,3,0,0
0,10,2,2,1,0,171,3,0,0
0,10,2,2,0,0,52,3,0,0
0,60,2,2,0,0,135,3,0,0
1,80,2,3,0,0,137,3,0,0
1,70,2,2,0,0,137,3,0,0
1,70,2,2,0,0,137,3,0,0
1,150,2,2,0,0,137,3,0,0
0,10,2,2,0,0,137,3,0,0
0,20,2,2,0,0,52,3,0,0
1,60,2,3,0,0,137,3,0,0
0,10,3,2,0,0,52,3,0,0
1,50,3,2,0,0,137,3,0,0
0,10,4,1,0,0,137,3,0,0
0,80,4,2,0,0,44,3,0,0
0,90,8,3,0,0,137,3,0,0
0,100,9,2,0,0,57,3,0,0
1,201,10,2,0,0,137,3,0,0
0,201,10,2,0,0,60,3,0,0
1,90,10,2,0,0,137,1,0,0
0,100,10,2,0,0,60,3,0,0
0,201,15,2,0,0,60,3,0,0
0,70,15,2,0,0,60,3,0,0
1,80,25,2,1,0,137,3,0,0
0,20,1,2,0,0,60,3,0,0
0,10,1,2,0,0,137,3,0,0
0,10,1,2,0,0,52,3,0,0
0,30,1,2,0,0,137,3,0,0
0,10,1,2,0,0,171,3,0,0
0,150,1,2,0,0,16,3,0,0
1,150,2,2,0,0,137,3,0,0
1,80,2,2,0,0,137,3,0,0
1,70,7,2,0,0,137,3,0,0
0,70,7,3,0,0,52,3,0,0
0,150,7,2,1,0,137,3,0,0
0,150,7,2,0,0,44,1,0,0
0,10,3,2,0,0,52,1,0,0
0,100,3,2,0,0,57,3,0,0
0,100,6,1,1,0,57,3,0,0
0,100,6,2,0,0,137,3,0,0
0,150,7,2,0,0,137,3,0,0
1,30,7,2,1,0,137,3,0,0
1,80,7,3,0,0,137,1,0,0
1,150,7,2,0,0,137,3,0,0
0,150,7,2,0,0,137,3,0,0
0,150,7,2,0,1,137,3,0,0
0,90,7,2,0,0,30,3,0,0
0,80,7,2,0,1,137,3,0,0
0,60,7,2,0,0,60,3,0,0
0,30,8,3,0,0,137,3,0,0
1,150,8,2,0,0,137,3,0,0
0,150,8,2,0,0,137,3,0,0
0,100,10,2,0,0,60,3,0,0
0,100,10,2,0,0,137,3,0,0
0,80,10,2,1,0,137,1,0,0
0,10,1,2,1,0,137,3,0,0
0,30,1,2,0,0,137,3,0,0
1,60,1,1,0,0,137,3,0,0
1,40,1,1,0,0,137,1,0,0
1,80,1,2,0,0,137,3,0,0
1,40,1,2,0,0,137,3,0,0
0,40,1,4,0,0,137,1,0,0
0,10,1,2,0,0,52,3,0,0
0,100,2,2,0,0,57,3,0,0
0,10,2,2,0,0,137,3,0,0
0,100,2,2,0,0,57,3,0,0
0,100,2,2,0,0,57,3,0,0
0,10,1,2,0,0,52,3,0,0
1,10,1,2,0,0,137,3,0,0
0,10,1,2,0,0,52,3,0,0
0,10,1,1,0,0,44,3,0,0
0,10,1,1,0,0,137,3,0,0
0,10,1,2,0,0,137,3,0,0
0,10,1,1,0,0,44,3,0,0
1,10,1,2,0,0,137,3,0,0
0,10,1,2,0,0,137,1,0,0
0,50,2,3,0,0,137,3,0,0
0,80,2,2,0,0,57,3,0,0
0,100,4,2,0,0,52,3,0,0
0,150,5,2,1,0,35,3,0,0
0,30,5,2,0,0,52,3,0,0
0,70,5,2,0,0,137,3,0,0
0,40,6,2,0,0,52,3,0,0
0,90,6,2,0,0,137,3,0,0
1,40,6,2,1,0,137,3,0,0
1,100,7,2,0,0,137,3,0,0
0,100,7,2,1,0,137,1,0,0
0,30,7,2,0,0,77,3,0,0
1,150,7,2,0,0,137,3,0,0
0,30,7,2,0,0,52,3,0,0
0,10,9,2,1,0,30,3,0,0
0,90,10,2,0,0,137,3,0,0
0,100,10,3,0,0,137,1,0,0
0,150,15,2,0,0,60,3,0,0
0,100,15,1,0,0,60,3,0,0
0,80,15,2,0,0,60,3,0,0
0,150,5,2,1,0,137,3,0,0
0,150,4,2,0,0,137,3,0,0
